DocDate,DocNo,OPropertyName,BranchCode,BranchName,BranchCodeReceipt,ItemCode,ItemName,TypeCar,QuantityRemainClose,EstimatedDescription,EstimatedDate1,RowId,RowId_S2,KhoNo,SR-ĐL2
12/04/2024,FPNVC-2404-020,Bảo hành,,,YL003877ZD,DA ĐỆM GHẾ TRƯỚC TRÁI,,1,NCC chưa có hàng chờ thông tin từ NCC,,,Kho MB,PEU HN
14/10/2024,EPBN-2410-008,Khẩn,,,YL02213380,GIÁ ĐỠ KHUNG XE PHẢI,,1,NCC chưa có kế hoạch giao hàng,,,Kho MB,Bac Ninh Co
05/02/2025,ECCPLC-2502-001,Khẩn,,,9780G7,BỘ DỤNG CỤ KIỂM CHÂN PIN,,1,NULL,,,Kho MB,TH LAO CAI
09/12/2025,SPVI-2512-002,Dự trữ,,,YL01691480,PHUỘC NHÚN SAU,,6,SEA NCC,,,Kho MB,Truong Hai Nghe An Co
16/12/2025,EPTH-2512-008,Khẩn,,,YL002624ZD,BÁT BẮT KHÓA DÂY AN TOÀN,,1,INV AIR 906466950,18/05/2026,,Kho MB,TH THANH HOA
07/01/2026,CAPNVC-2601-001,Chiến dịch,,,R124-01,CAMERA 360 XE PEUGEOT,,2,NULL,,,Kho MB,PEU HN
27/03/2026,EPBDI-2603-012,Khẩn,,,YL01691480,PHUỘC NHÚN SAU,,2,SEA SPMN300126,30/05/2026,,Kho MN,TH GIA LAI
30/03/2026,VPDNA-2603-001,Khẩn VOR,,,9810375780,HỘP SỐ TỰ ĐỘNG,,1,SEA EPNB300326-01,29/06/2026,,Kho MN,Van Kim Automative Co
